authorId,name
145944603,Sarvesh Soni
2116218246,Qiong Wang
72272761,Qiang Wei
2068334010,Yang Xiang
2112525563,Bo Zhao
2219752599,Hua Xu
1602993448,Kayo Yin
73769459,Amit Moryossef
1738680812,J. Hochgesang
79775260,Yoav Goldberg
2715920,Malihe Alikhani
30299532,C. Harrison
2239658197,Chris J. Sidey-Gibbons
40010893,Ossama Obeid
2814303,Nasser Zalmout
48040328,Salam Khalifa
3405525,Dima Taji
2420100,Mai Oudah
66589548,Bashar Alhafni
46915471,Go Inoue
41127087,Fadhl Eryani
36785672,Alexander Erdmann
1696645,Nizar Habash
35391047,I. K. Raharjana
153110385,D. Siahaan
3345616,Chastine Fatichah
2332269989,Saskia Locke
2078287834,A. Bashall
1729423129,Sarah Al-Adely
2109009065,John Moore
144499487,A. Wilson
73323659,G. Kitchen
2024253969,Binggui Zhou
48636625,Guanghua Yang
2110396526,Zheng Shi
8093389,Shaodan Ma
49559893,Katikapalli Subramanyam Kalyan
1613102522,A. Rajasekharan
46505742,S. Sangeetha
2057642721,Martín Abadi
2078528337,Ashish Agarwal
144758007,P. Barham
2445241,E. Brevdo
2545358,Z. Chen
48738717,C. Citro
32131713,G. Corrado
36347083,Andy Davis
49959210,J. Dean
145139947,M. Devin
1780892,S. Ghemawat
153440022,I. Goodfellow
2064102917,A. Harp
2060655766,G. Irving
2090818,M. Isard
39978391,Yangqing Jia
1944541,R. Józefowicz
40527594,Lukasz Kaiser
1942300,M. Kudlur
3369421,J. Levenberg
30415265,Dandelion Mané
3089272,R. Monga
144375552,Sherry Moore
20154699,D. Murray
2357599490,C. Olah
144927151,M. Schuster
1789737,Jonathon Shlens
32163737,Benoit Steiner
1701686,I. Sutskever
35210462,Kunal Talwar
2080690,P. Tucker
2657155,Vincent Vanhoucke
2053781980,Vijay Vasudevan
1765169,F. Viégas
1689108,O. Vinyals
47941411,Pete Warden
145233583,M. Wattenberg
35078078,M. Wicke
2117163698,Yuan Yu
2152198093,Xiaoqiang Zheng
2162200015,Sarina Aminizadeh
2063999298,Arash Heidari
2262207791,Mahshid Dehghan
2145189648,Shiva Toumaj
39154270,Mahsa Rezaei
2253670,N. Navimipour
2292751446,Fabio Stroppa
2135061216,Mehmet Unal
1698701,Ian T Foster
8682509,C. Kesselman
2022401,J. M. Nick
1720669,S. Tuecke
1913774,Tianqi Chen
2124778071,Mu Li
2110420880,Yutian Li
1491081747,Min Lin
48246959,Naiyan Wang
1508337194,Minjie Wang
39102205,Tianjun Xiao
2113742783,Bing Xu
151505981,Chiyuan Zhang
38448016,Zheng Zhang
2158476,T. Chandra
1729358,S. Toueg
1815539,Xingda Wei
2362275353,Rongxin Cheng
2108774629,Yuh-Wen Yang
2280900560,Rong Chen
2145225884,Haibo Chen
1725306,G. Agha
1732486,K. Chandy
2153304,Elli Androulaki
37940861,Artem Barger
145490677,V. Bortnikov
3142068,C. Cachin
1869645,K. Christidis
7703741,Angelo De Caro
1398538823,David Enyeart
145315230,Christopher Ferris
1952597,Gennady Laventman
39622899,Yacov Manevich
2075696319,S. Muralidharan
145379175,Chet Murthy
46277200,Binh Nguyen
2066035153,Manish Sethi
1399919938,Gari Singh
2157446039,Keith A. Smith
1715519,A. Sorniotti
35347465,C. Stathakopoulou
1796625,M. Vukolic
1398539143,S. Cocco
1398538814,Jason Yellick
2257220214,Beth Finton
145203664,M. Parashar
2288723984,A. Tanenbaum
144401473,M. V. Steen
144952680,S. Mullender
145028798,L. Bittencourt
1686666,A. Goldman
144525534,E. Madeira
1755700,N. Fonseca
1741531,R. Sakellariou
1771411,Adrian Francalanza
145867148,Jorge A. Pérez
145979956,César Sánchez
143902006,M. Raynal
